"item_code","item","unit","item_group","item_category","item_subcategory"
1129,"LADA BENGGALA MERAH (CAPSICUM)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","LADA BENGGALA"
1130,"LADA BENGGALA KUNING (CAPSICUM)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","LADA BENGGALA"
1131,"UBI KENTANG IMPORT (CHINA)","1kg","BARANGAN KERING","UBI KENTANG","UBI KENTANG"
1132,"LIMAU NIPIS","1kg","BARANGAN SEGAR","BUAH-BUAHAN","LIMAU"
1135,"KICAP MANIS ADABI","340ml","BARANGAN BERBUNGKUS","KICAP DAN SOS","KICAP"
1136,"KICAP MASIN ADABI","340ml","BARANGAN BERBUNGKUS","KICAP DAN SOS","KICAP"
1137,"SOS CILI THAI LIFE","360g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS CILI"
1138,"SOS TIRAM MAGGI","340 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS TIRAM"
1139,"SOS TOMATO LIFE","330 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS TOMATO"
1140,"MARJERIN PLANTA","240 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","MARJERIN"
1141,"MARJERIN DAISY","240 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","MARJERIN"
1142,"SARDIN CAP ADABI (SOS TOMATO DENGAN CILI)","425 g","BARANGAN BERBUNGKUS","IKAN DALAM TIN","SARDIN"
1144,"MENTEGA KACANG HALUS LADY'S CHOICE","340 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","MENTEGA KACANG"
1145,"NESTLE CERELAC BERAS - TIN","500 g","SUSU DAN BARANGAN BAYI","MAKANAN BAYI","CERELAC"
1151,"SANTAN KELAPA JENAMA AYAM BRAND","1 liter","BARANGAN BERBUNGKUS","SANTAN (KOTAK)","SANTAN"
1153,"PERENCAH TOM YAM ADABI","40 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1157,"NASI PUTIH KOSONG","sepinggan","MAKANAN SIAP MASAK","NASI","NASI PUTIH"
